h3,can_train,can_pub
851f80c3fffffff,0.0,0.0
851f80dbfffffff,0.0,0.0
851f8637fffffff,0.0,0.0
851f8623fffffff,0.0,0.0
851f862bfffffff,0.0,0.0
851f8667fffffff,0.0,0.0
851f866ffffffff,0.0,0.0
851f82d3fffffff,0.0,0.0
851f82dbfffffff,1.0,0.0
851f9537fffffff,0.0,0.0
851f9523fffffff,0.0,0.0
851f952ffffffff,0.0,0.0
851f9197fffffff,0.0,0.0
851f9187fffffff,0.0,0.0
851f91bbfffffff,0.0,0.0
851f91abfffffff,1.0,1.0
851f9133fffffff,1.0,1.0
851f9123fffffff,1.0,0.0
851f912ffffffff,0.0,0.0
851f9e97fffffff,0.0,0.0
851f9e87fffffff,1.0,0.0
851f9eb3fffffff,0.0,0.0
851f9eb7fffffff,0.0,0.0
851f9c6bfffffff,0.0,0.0
851f9c6ffffffff,0.0,0.0
851f989bfffffff,0.0,0.0
851f9883fffffff,0.0,0.0
851f9887fffffff,0.0,0.0
851f98b3fffffff,0.0,0.0
851f98b7fffffff,0.0,0.0
851f9d6bfffffff,0.0,0.0
851f9d63fffffff,1.0,1.0
851f9d77fffffff,1.0,1.0
851f9d3bfffffff,0.0,1.0
851f9d33fffffff,0.0,1.0
851f9daffffffff,0.0,1.0
851f9da7fffffff,1.0,1.0
851f8e6bfffffff,1.0,1.0
851f8e63fffffff,1.0,1.0
851f8e77fffffff,0.0,1.0
851f8e3bfffffff,0.0,0.0
851f8e07fffffff,1.0,1.0
851f8e17fffffff,1.0,1.0
851f8e8ffffffff,1.0,1.0
851f8e83fffffff,0.0,0.0
851f8e93fffffff,0.0,0.0
851f812bfffffff,0.0,0.0
851f813bfffffff,0.0,0.0
851f8107fffffff,0.0,0.0
851f8117fffffff,0.0,0.0
851f818ffffffff,1.0,0.0
851f818bfffffff,0.0,0.0
851f81d7fffffff,0.0,0.0
851f81d3fffffff,0.0,0.0
851f80a7fffffff,0.0,0.0
851f80a3fffffff,0.0,0.0
851f80bbfffffff,0.0,0.0
851f808ffffffff,0.0,0.0
851f808bfffffff,0.0,0.0
851f80d7fffffff,0.0,0.0
851f80d3fffffff,0.0,0.0
851f86a7fffffff,0.0,0.0
851f86affffffff,0.0,0.0
851f8633fffffff,1.0,0.0
851f863bfffffff,0.0,0.0
851f8677fffffff,0.0,0.0
851f8663fffffff,0.0,0.0
851f866bfffffff,0.0,0.0
851f95a7fffffff,0.0,0.0
851f95affffffff,0.0,0.0
851f9533fffffff,0.0,0.0
851f953bfffffff,0.0,0.0
851f952bfffffff,0.0,0.0
851f9193fffffff,0.0,0.0
851f9183fffffff,0.0,0.0
851f918ffffffff,0.0,0.0
851f9117fffffff,1.0,0.0
851f9107fffffff,1.0,0.0
851f913bfffffff,0.0,0.0
851f912bfffffff,1.0,0.0
851f9e93fffffff,0.0,0.0
851f9e83fffffff,1.0,0.0
851f9e8ffffffff,1.0,0.0
851f9ebbfffffff,0.0,0.0
851f9ea3fffffff,0.0,0.0
851f9ea7fffffff,0.0,0.0
851f98d3fffffff,0.0,0.0
851f98d7fffffff,0.0,0.0
851f988bfffffff,0.0,0.0
851f988ffffffff,0.0,0.0
851f98bbfffffff,0.0,0.0
851f98a3fffffff,0.0,0.0
851f98a7fffffff,0.0,0.0
851f99d3fffffff,0.0,0.0
851f9d6ffffffff,1.0,1.0
851f9d67fffffff,0.0,1.0
851f9d2bfffffff,0.0,0.0
851f9d23fffffff,0.0,1.0
851f9d37fffffff,0.0,0.0
851f8adbfffffff,0.0,1.0
851f8ad3fffffff,1.0,1.0
851f8e6ffffffff,1.0,1.0
851f8e67fffffff,0.0,1.0
851f8e2bfffffff,0.0,0.0
851f8e23fffffff,0.0,0.0
851f8e33fffffff,0.0,0.0
851f8eabfffffff,1.0,0.0
851f8ebbfffffff,1.0,0.0
851f8e87fffffff,0.0,0.0
851f8e97fffffff,0.0,0.0
851f812ffffffff,0.0,0.0
851f8123fffffff,0.0,0.0
851f8133fffffff,0.0,0.0
851f81abfffffff,1.0,0.0
851f81bbfffffff,0.0,0.0
851f8187fffffff,0.0,0.0
851f8183fffffff,0.0,0.0
851f819bfffffff,0.0,0.0
851f856ffffffff,0.0,0.0
851f856bfffffff,0.0,0.0
851f80b7fffffff,1.0,0.0
851f80b3fffffff,0.0,0.0
851f8087fffffff,0.0,0.0
851f8083fffffff,0.0,0.0
851f809bfffffff,0.0,0.0
851f846ffffffff,0.0,0.0
851f846bfffffff,1.0,0.0
851f86b7fffffff,0.0,0.0
851f86a3fffffff,0.0,0.0
851f86abfffffff,0.0,0.0
851f8607fffffff,0.0,0.0
851f860ffffffff,0.0,0.0
851f8673fffffff,0.0,0.0
851f867bfffffff,0.0,0.0
851f95b7fffffff,0.0,0.0
851f95a3fffffff,0.0,0.0
851f95abfffffff,0.0,0.0
851f9507fffffff,0.0,0.0
851f950ffffffff,0.0,0.0
851f9577fffffff,0.0,0.0
851f9567fffffff,0.0,0.0
851f919bfffffff,0.0,0.0
851f918bfffffff,0.0,0.0
851f9113fffffff,0.0,0.0
851f9103fffffff,0.0,0.0
851f910ffffffff,1.0,0.0
851f9177fffffff,0.0,0.0
851f9167fffffff,0.0,0.0
851f9e9bfffffff,0.0,0.0
851f9e8bfffffff,0.0,0.0
851f9e13fffffff,0.0,0.0
851f9e17fffffff,0.0,0.0
851f9eabfffffff,0.0,0.0
851f9eaffffffff,0.0,0.0
851f98dbfffffff,0.0,0.0
851f98c3fffffff,0.0,0.0
851f98c7fffffff,0.0,0.0
851f9813fffffff,0.0,0.0
851f9817fffffff,0.0,0.0
851f98abfffffff,0.0,0.0
851f98affffffff,0.0,0.0
851f99dbfffffff,1.0,0.0
851f99c3fffffff,0.0,0.0
851f99d7fffffff,1.0,0.0
851f999bfffffff,0.0,0.0
851f9993fffffff,0.0,0.0
851f9d2ffffffff,0.0,0.0
851f9d27fffffff,0.0,1.0
851f8acbfffffff,0.0,1.0
851f8ac3fffffff,1.0,1.0
851f8ad7fffffff,1.0,1.0
851f8a9bfffffff,0.0,1.0
851f8a93fffffff,0.0,0.0
851f8e2ffffffff,0.0,0.0
851f8e27fffffff,0.0,0.0
851f8e37fffffff,0.0,0.0
851f8eaffffffff,0.0,0.0
851f8ea3fffffff,0.0,0.0
851f8eb3fffffff,0.0,0.0
851f8c4bfffffff,0.0,0.0
851f8c5bfffffff,0.0,0.0
851f8127fffffff,0.0,0.0
851f8137fffffff,0.0,0.0
851f81affffffff,0.0,0.0
851f81a3fffffff,0.0,0.0
